datafile_id,sequencing_id,submitter_id,data_type,data_category,data_format,file_name,file_size,md5sum,file_path,node
ABI_1_A1.txt,sequence_ABI_1_A1,E-TABM-132,,MicroArray,TXT,ABI_1_A1.txt,675403 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_A1.txt,
ABI_1_A2.txt,sequence_ABI_1_A2,E-TABM-132,,MicroArray,TXT,ABI_1_A2.txt,676065 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_A2.txt,
ABI_1_A3.txt,sequence_ABI_1_A3,E-TABM-132,,MicroArray,TXT,ABI_1_A3.txt,675255 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_A3.txt,
ABI_1_A4.txt,sequence_ABI_1_A4,E-TABM-132,,MicroArray,TXT,ABI_1_A4.txt,675408 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_A4.txt,
ABI_1_A5.txt,sequence_ABI_1_A5,E-TABM-132,,MicroArray,TXT,ABI_1_A5.txt,670872 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_A5.txt,
ABI_1_B1.txt,sequence_ABI_1_B1,E-TABM-132,,MicroArray,TXT,ABI_1_B1.txt,673295 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_B1.txt,
ABI_1_B2.txt,sequence_ABI_1_B2,E-TABM-132,,MicroArray,TXT,ABI_1_B2.txt,673024 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_B2.txt,
ABI_1_B3.txt,sequence_ABI_1_B3,E-TABM-132,,MicroArray,TXT,ABI_1_B3.txt,672638 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_B3.txt,
ABI_1_B4.txt,sequence_ABI_1_B4,E-TABM-132,,MicroArray,TXT,ABI_1_B4.txt,673081 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_B4.txt,
ABI_1_B5.txt,sequence_ABI_1_B5,E-TABM-132,,MicroArray,TXT,ABI_1_B5.txt,668765 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_B5.txt,
ABI_1_C1.txt,sequence_ABI_1_C1,E-TABM-132,,MicroArray,TXT,ABI_1_C1.txt,677651 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_C1.txt,
ABI_1_C2.txt,sequence_ABI_1_C2,E-TABM-132,,MicroArray,TXT,ABI_1_C2.txt,679303 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_C2.txt,
ABI_1_C3.txt,sequence_ABI_1_C3,E-TABM-132,,MicroArray,TXT,ABI_1_C3.txt,677607 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_C3.txt,
ABI_1_C4.txt,sequence_ABI_1_C4,E-TABM-132,,MicroArray,TXT,ABI_1_C4.txt,677002 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_C4.txt,
ABI_1_C5.txt,sequence_ABI_1_C5,E-TABM-132,,MicroArray,TXT,ABI_1_C5.txt,672895 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_C5.txt,
ABI_1_D1.txt,sequence_ABI_1_D1,E-TABM-132,,MicroArray,TXT,ABI_1_D1.txt,676625 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_D1.txt,
ABI_1_D2.txt,sequence_ABI_1_D2,E-TABM-132,,MicroArray,TXT,ABI_1_D2.txt,677642 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_D2.txt,
ABI_1_D3.txt,sequence_ABI_1_D3,E-TABM-132,,MicroArray,TXT,ABI_1_D3.txt,678597 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_D3.txt,
ABI_1_D4.txt,sequence_ABI_1_D4,E-TABM-132,,MicroArray,TXT,ABI_1_D4.txt,672936 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_D4.txt,
ABI_1_D5.txt,sequence_ABI_1_D5,E-TABM-132,,MicroArray,TXT,ABI_1_D5.txt,674346 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_1_D5.txt,
ABI_2_A1.txt,sequence_ABI_2_A1,E-TABM-132,,MicroArray,TXT,ABI_2_A1.txt,677839 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_2_A1.txt,
ABI_2_A2.txt,sequence_ABI_2_A2,E-TABM-132,,MicroArray,TXT,ABI_2_A2.txt,677428 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_2_A2.txt,
ABI_2_A3.txt,sequence_ABI_2_A3,E-TABM-132,,MicroArray,TXT,ABI_2_A3.txt,676117 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_2_A3.txt,
ABI_2_A4.txt,sequence_ABI_2_A4,E-TABM-132,,MicroArray,TXT,ABI_2_A4.txt,674564 ,,oss://pgx-source-data/SampleAB/rawdata/published/microarray/GSE5350/GSE5350_MAQC_ABI_123_60TXTs/ABI_2_A4.txt,
